n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,experiment
49000001,0.000181531,7.59049e-05,0.000153,0.000159,0.0001695,0.00018475,0.000762,binary
50000001,2.82031e-05,3.20307e-06,2.6e-05,2.7e-05,2.7e-05,2.8e-05,4.1e-05,binary
51000001,0.000194625,0.000100451,0.000164,0.00016975,0.0001785,0.000196,0.000977,binary
52000001,0.000173437,3.24966e-05,0.000154,0.000158,0.000162,0.00018125,0.000405,binary
53000001,0.000185781,4.84203e-05,0.000164,0.000169,0.000172,0.00019,0.000549,binary
54000001,0.000201141,0.000123887,0.000166,0.00017175,0.000187,0.0001975,0.001171,binary
55000001,0.000179125,3.2511e-05,0.000158,0.000165,0.000168,0.000184,0.000409,binary
56000001,0.000184516,3.75495e-05,0.000162,0.00016975,0.000172,0.00019225,0.00046,binary
57000001,0.000177609,4.95377e-05,0.000153,0.000159,0.000173,0.000184,0.000554,binary
58000001,0.000180453,3.9694e-05,0.00016,0.00016475,0.0001725,0.00018625,0.000473,binary
59000001,0.000187047,5.42962e-05,0.000159,0.000165,0.0001815,0.00019325,0.000595,binary
60000001,0.000170547,4.66214e-05,0.000145,0.00015075,0.000166,0.000177,0.000523,binary
61000001,0.000172781,0.000101595,0.000145,0.000148,0.000157,0.000173,0.000966,binary
62000001,0.000185828,5.13901e-05,0.000162,0.000169,0.0001725,0.00019125,0.000576,binary
63000001,0.000193531,8.36658e-05,0.000167,0.00017,0.0001845,0.0001935,0.000842,binary
64000001,0.000180203,7.35154e-05,0.000155,0.000159,0.000164,0.00018325,0.000747,binary
65000001,0.000194578,0.000111288,0.000158,0.000166,0.000182,0.00019225,0.001063,binary
66000001,0.000184531,0.000169442,0.000147,0.000153,0.000156,0.00017525,0.001515,binary
67000001,0.000178203,8.93771e-05,0.000149,0.000154,0.000168,0.00017825,0.000873,binary
68000001,0.000168531,4.07637e-05,0.000147,0.000153,0.0001565,0.000174,0.000471,binary
69000001,0.000195266,8.05687e-05,0.000163,0.00017,0.0001855,0.0001985,0.000816,binary
70000001,0.000177969,4.47699e-05,0.000153,0.000158,0.0001735,0.000186,0.000511,binary
71000001,0.000189438,9.40456e-05,0.00016,0.000165,0.000175,0.00018925,0.00092,binary
72000001,0.000194422,8.62878e-05,0.00016,0.00017075,0.0001855,0.00019425,0.000862,binary
73000001,0.000185562,5.82477e-05,0.000159,0.000164,0.000181,0.00018725,0.000627,binary
74000001,0.000189172,7.15197e-05,0.000157,0.000169,0.000172,0.00019325,0.000741,binary
75000001,3.33437e-05,3.78895e-06,3e-05,3.1e-05,3.3e-05,3.4e-05,5e-05,binary
76000001,0.000201453,0.000159652,0.000162,0.000169,0.0001755,0.00019075,0.001453,binary
77000001,0.000187969,8.94851e-05,0.000155,0.000161,0.0001795,0.000189,0.000885,binary
78000001,0.000186125,4.16041e-05,0.000161,0.00017,0.000172,0.00019725,0.000487,binary
79000001,0.000192156,5.7773e-05,0.000164,0.00017,0.000186,0.00019925,0.000631,binary
80000001,0.000188781,0.000110649,0.000159,0.00016475,0.000166,0.00019,0.001054,binary
81000001,0.000188469,4.50668e-05,0.000165,0.000169,0.0001855,0.000195,0.000524,binary
82000001,0.000178844,6.04668e-05,0.000154,0.00016,0.000162,0.0001855,0.00064,binary
83000001,0.000184672,5.57381e-05,0.000159,0.000165,0.0001795,0.00018925,0.000608,binary
84000001,0.000181281,4.32459e-05,0.000157,0.000164,0.0001775,0.0001895,0.000507,binary
85000001,0.000169234,6.73236e-05,0.000144,0.000148,0.0001615,0.000174,0.000687,binary
86000001,0.000167453,3.99217e-05,0.000142,0.000149,0.000164,0.000175,0.000465,binary
87000001,0.000185781,3.49492e-05,0.000165,0.00016975,0.00018,0.000195,0.000439,binary
88000001,0.000187328,5.43729e-05,0.000165,0.00016975,0.0001745,0.00019125,0.000601,binary
89000001,0.000191078,0.000141773,0.000153,0.00015875,0.0001765,0.000189,0.001302,binary
90000001,0.000181672,5.68186e-05,0.00016,0.000164,0.000167,0.00018775,0.000618,binary
91000001,0.000176094,7.73238e-05,0.00015,0.000154,0.0001655,0.0001765,0.000775,binary
92000001,0.000167969,4.73256e-05,0.000149,0.000152,0.000155,0.00017425,0.000526,binary
93000001,0.000179969,0.000108267,0.000145,0.000154,0.0001685,0.00017825,0.001025,binary
94000001,0.000192828,7.95548e-05,0.000164,0.00016975,0.0001845,0.0001955,0.000809,binary
95000001,0.000180719,4.49802e-05,0.000155,0.00015975,0.000176,0.000189,0.00051,binary
96000001,0.000185609,5.09639e-05,0.000159,0.000165,0.000181,0.00019225,0.000572,binary
97000001,0.00018725,5.47885e-05,0.000165,0.00017,0.0001735,0.00018925,0.000602,binary
98000001,0.000180797,4.35963e-05,0.000155,0.000163,0.000166,0.00019,0.0005,binary
99000001,0.000201203,0.000121203,0.000147,0.00017075,0.0001885,0.000198,0.001147,binary
1,2.99844e-05,1.05582e-05,2.2e-05,2.3e-05,2.5e-05,3.05e-05,6e-05,sequential
1000001,5.62904,0.00567763,5.60932,5.62598,5.62861,5.6323,5.64914,sequential
2000001,11.3108,0.422035,11.1848,11.2553,11.2582,11.2618,14.6327,sequential
3000001,16.8878,0.00920219,16.8718,16.8826,16.8853,16.8904,16.921,sequential
4000001,22.513,0.0148194,22.4655,22.5071,22.5112,22.5169,22.5533,sequential
5000001,28.1479,0.0705443,28.1035,28.1339,28.138,28.1424,28.6947,sequential
6000001,33.7673,0.014855,33.7377,33.7597,33.7657,33.7703,33.8159,sequential
7000001,39.3988,0.0374925,39.3753,39.3856,39.393,39.3989,39.6759,sequential
8000001,45.0318,0.0388097,45.0058,45.0164,45.0229,45.0368,45.3134,sequential
9000001,50.6598,0.0389478,50.6056,50.647,50.6527,50.6584,50.9198,sequential
10000001,56.2795,0.0261962,56.2482,56.2685,56.2761,56.282,56.4505,sequential
11000001,61.9605,0.38755,61.8771,61.8968,61.9047,61.9145,64.9977,sequential
12000001,67.5982,0.422879,67.468,67.526,67.5342,67.5461,70.9049,sequential
13000001,73.2258,0.38619,73.129,73.1586,73.1677,73.1809,76.2433,sequential
14000001,78.8023,0.0392193,78.7608,78.7829,78.7935,78.8084,79.0258,sequential
15000001,84.502,0.374578,84.2932,84.415,84.4227,84.4405,87.1449,sequential
16000001,90.1121,0.427203,90.0113,90.0393,90.0529,90.0616,93.4555,sequential
17000001,95.7875,0.524978,95.6431,95.6682,95.6796,95.6924,98.7596,sequential
18000001,101.31,0.0503374,101.147,101.291,101.305,101.318,101.577,sequential
19000001,107.019,0.515315,106.884,106.908,106.92,106.93,109.947,sequential
20000001,112.688,0.605974,112.504,112.54,112.551,112.568,115.955,sequential
21000001,118.337,0.69669,118.137,118.168,118.177,118.189,122.074,sequential
22000001,123.824,0.0548474,123.776,123.802,123.812,123.823,124.123,sequential
23000001,129.461,0.0488383,129.408,129.436,129.444,129.467,129.659,sequential
24000001,135.195,0.585996,135.038,135.064,135.075,135.089,138.527,sequential
25000001,140.804,0.482311,140.66,140.695,140.706,140.729,143.983,sequential
26000001,146.4,0.384662,146.289,146.318,146.336,146.359,149.388,sequential
27000001,152.08,0.596181,151.906,151.946,151.964,151.979,155.605,sequential
28000001,157.684,0.48882,157.543,157.57,157.583,157.604,160.695,sequential
29000001,163.364,0.640249,163.161,163.202,163.215,163.235,166.383,sequential
30000001,168.958,0.592929,168.771,168.813,168.833,168.866,172.422,sequential
31000001,174.553,0.498396,174.296,174.433,174.447,174.478,177.477,sequential
32000001,180.138,0.253813,180.033,180.076,180.091,180.114,182.06,sequential
33000001,185.854,0.498125,185.679,185.716,185.734,185.771,188.908,sequential
34000001,191.435,0.447007,191.3,191.339,191.35,191.387,194.898,sequential
35000001,197.058,0.330211,196.949,196.976,196.994,197.025,199.59,sequential
36000001,202.828,0.841803,202.475,202.582,202.598,202.629,206.544,sequential
37000001,208.437,0.747071,208.145,208.212,208.23,208.265,211.525,sequential
38000001,214.021,0.693449,213.775,213.837,213.854,213.881,217.23,sequential
39000001,219.659,0.764566,219.405,219.451,219.468,219.502,223.328,sequential
40000001,225.263,0.64878,225.044,225.086,225.107,225.15,228.472,sequential
41000001,230.846,0.484393,230.697,230.733,230.747,230.785,234.211,sequential
42000001,236.528,0.601798,236.305,236.362,236.38,236.422,239.711,sequential
43000001,242.159,0.577333,241.855,241.989,242.012,242.061,245.2,sequential
44000001,247.814,0.587481,247.515,247.664,247.686,247.725,251.12,sequential
45000001,253.594,0.797116,253.173,253.311,253.352,253.43,256.767,sequential
46000001,258.915,0.0911716,258.808,258.872,258.891,258.925,259.397,sequential
47000001,264.61,0.555043,264.422,264.467,264.492,264.536,267.816,sequential
48000001,270.223,0.417108,270.061,270.113,270.143,270.179,273.354,sequential
49000001,276.019,0.842296,275.707,275.757,275.779,275.806,280.003,sequential
50000001,281.487,0.413757,281.359,281.388,281.413,281.456,284.682,sequential
51000001,287.329,1.01629,286.98,287.025,287.051,287.092,293.093,sequential
52000001,292.834,0.652616,292.594,292.646,292.677,292.712,295.944,sequential
53000001,298.34,0.138634,298.202,298.276,298.3,298.338,299.138,sequential
54000001,303.926,0.116441,303.534,303.875,303.91,303.947,304.268,sequential
55000001,309.607,0.356759,309.438,309.485,309.517,309.558,311.633,sequential
56000001,315.301,0.592269,315.099,315.145,315.173,315.207,318.96,sequential
57000001,320.944,0.575774,320.736,320.792,320.819,320.862,324.532,sequential
58000001,326.567,0.607076,326.35,326.412,326.438,326.467,330.059,sequential
59000001,332.284,0.683637,331.963,332.032,332.054,332.142,335.158,sequential
60000001,337.857,0.640694,337.602,337.634,337.67,337.745,341.068,sequential
61000001,343.648,1.11565,343.206,343.291,343.318,343.403,350.057,sequential
62000001,349.205,0.825061,348.875,348.929,348.953,349.005,352.884,sequential
63000001,354.638,0.249577,354.51,354.547,354.57,354.615,356.382,sequential
64000001,360.352,0.508451,360.146,360.191,360.22,360.268,363.46,sequential
65000001,366.07,0.756938,365.757,365.823,365.847,365.923,369.116,sequential
66000001,371.566,0.601796,371.351,371.393,371.43,371.49,374.821,sequential
67000001,377.204,0.541985,377.001,377.043,377.069,377.14,380.143,sequential
68000001,382.829,0.694858,382.479,382.619,382.665,382.714,386.055,sequential
69000001,388.592,0.847389,388.183,388.267,388.311,388.424,391.973,sequential
70000001,394.149,0.657344,393.887,393.934,393.976,394.013,397.188,sequential
71000001,399.738,0.463711,399.518,399.587,399.622,399.677,402.991,sequential
72000001,405.388,0.603878,405.152,405.197,405.225,405.302,408.464,sequential
73000001,411.034,0.563218,410.816,410.853,410.894,410.965,414.085,sequential
74000001,416.543,0.395003,416.359,416.426,416.463,416.501,419.487,sequential
75000001,422.245,0.597192,421.965,422.049,422.1,422.19,425.457,sequential
76000001,427.97,0.702969,427.677,427.731,427.767,427.83,431.336,sequential
77000001,433.513,0.530989,433.249,433.348,433.391,433.476,436.497,sequential
78000001,439.279,0.831163,438.897,438.972,439.013,439.108,442.516,sequential
79000001,444.876,0.85089,444.467,444.565,444.599,444.687,447.913,sequential
80000001,450.322,0.414675,450.102,450.188,450.236,450.309,453.39,sequential
81000001,456.137,0.783245,455.77,455.866,455.921,455.976,459.411,sequential
82000001,461.613,0.444333,461.404,461.486,461.518,461.572,464.897,sequential
83000001,467.425,0.808997,467.058,467.123,467.163,467.273,470.535,sequential
84000001,473.045,0.854647,472.655,472.712,472.768,472.862,476.168,sequential
85000001,478.525,0.680444,478.169,478.308,478.339,478.424,481.718,sequential
86000001,484.197,0.747233,483.719,483.932,483.962,484.056,487.215,sequential
87000001,489.763,0.547521,489.524,489.59,489.623,489.702,492.757,sequential
88000001,495.454,0.652947,495.136,495.195,495.251,495.364,499.007,sequential
89000001,501.169,0.888963,500.687,500.788,500.86,501.008,504.307,sequential
90000001,506.677,0.617189,506.286,506.447,506.504,506.603,509.382,sequential
91000001,512.42,0.784868,512.082,512.139,512.193,512.26,515.706,sequential
92000001,517.865,0.40126,517.667,517.737,517.78,517.859,520.849,sequential
93000001,524.259,2.74089,523.306,523.387,523.456,523.601,541.026,sequential
94000001,529.102,0.50987,528.72,528.94,528.991,529.068,531.978,sequential
95000001,534.847,0.558241,534.587,534.677,534.718,534.771,537.849,sequential
96000001,540.549,0.626712,540.182,540.294,540.366,540.516,543.236,sequential
97000001,546.22,0.761587,545.847,545.937,545.996,546.086,549.36,sequential
98000001,551.787,0.731265,551.399,551.493,551.57,551.735,554.831,sequential
99000001,557.389,0.646472,557.046,557.17,557.213,557.316,560.432,sequential
1,2.20469e-05,4.00567e-06,1.9e-05,2.1e-05,2.1e-05,2.2e-05,4.6e-05,exponential
1000001,0.000229859,7.45141e-05,0.000205,0.00021075,0.0002145,0.00022825,0.000807,exponential
2000001,0.000239125,8.17601e-05,0.000216,0.00022075,0.0002235,0.00023625,0.000875,exponential
3000001,0.000239031,8.34917e-05,0.000219,0.00022275,0.000225,0.00023,0.000892,exponential
4000001,0.000248078,0.000108024,0.000224,0.000228,0.000231,0.00023525,0.001095,exponential
5000001,0.000246922,7.8132e-05,0.000221,0.00022875,0.000232,0.00024175,0.000852,exponential
6000001,0.000253938,0.000103793,0.000228,0.000234,0.0002365,0.00024725,0.001067,exponential
7000001,0.000262531,0.000152511,0.000232,0.000238,0.0002405,0.00024525,0.001461,exponential
8000001,0.000256891,0.000105776,0.000234,0.000239,0.000241,0.00024425,0.001087,exponential
9000001,0.000259469,9.63143e-05,0.000225,0.000233,0.0002475,0.00026125,0.001006,exponential
10000001,0.000255344,7.54014e-05,0.000231,0.000237,0.000241,0.000257,0.000842,exponential
11000001,0.000341953,0.000571323,0.000233,0.00024475,0.000258,0.00026725,0.004737,exponential
12000001,0.000259922,6.98296e-05,0.000239,0.000244,0.0002465,0.0002585,0.000802,exponential
13000001,0.000265609,6.30763e-05,0.00024,0.00024775,0.000251,0.00026775,0.000749,exponential
14000001,0.000270109,0.000103884,0.000246,0.000249,0.000253,0.0002645,0.001084,exponential
15000001,0.000266781,7.31358e-05,0.000243,0.00024875,0.000252,0.00027,0.000835,exponential
16000001,0.000266219,8.06827e-05,0.000242,0.000249,0.000253,0.000263,0.000897,exponential
17000001,0.000247469,6.79811e-05,0.000219,0.000227,0.0002345,0.00025025,0.000769,exponential
18000001,0.000259234,9.08985e-05,0.000235,0.00024175,0.000245,0.000251,0.000971,exponential
19000001,0.000261922,6.85135e-05,0.000242,0.000246,0.00025,0.0002575,0.000795,exponential
20000001,0.000393281,0.00109009,0.000241,0.000246,0.0002505,0.00026575,0.008977,exponential
21000001,0.000284219,0.00018961,0.000247,0.000252,0.000258,0.00026725,0.001775,exponential
22000001,0.000275047,7.21945e-05,0.000246,0.00025575,0.0002665,0.000276,0.000835,exponential
23000001,0.000268219,5.78565e-05,0.000244,0.000251,0.000255,0.0002715,0.000711,exponential
24000001,0.000277391,0.000134892,0.000247,0.000251,0.0002555,0.00027,0.001335,exponential
25000001,0.000270953,6.58985e-05,0.000249,0.000253,0.000258,0.00027175,0.000781,exponential
26000001,0.000282859,6.81678e-05,0.000254,0.000259,0.0002755,0.00028525,0.000809,exponential
27000001,0.00027575,8.78485e-05,0.000252,0.000258,0.000261,0.00026525,0.000962,exponential
28000001,0.000276859,7.35229e-05,0.000253,0.000258,0.000262,0.000278,0.000847,exponential
29000001,0.000274594,7.60893e-05,0.000252,0.000257,0.0002615,0.00027025,0.000867,exponential
30000001,0.000284469,0.000150074,0.00025,0.000257,0.0002595,0.0002775,0.001462,exponential
31000001,0.000280203,0.000133894,0.000236,0.000256,0.000259,0.0002695,0.00133,exponential
32000001,0.000278594,6.28699e-05,0.000255,0.000261,0.0002645,0.00027925,0.000764,exponential
33000001,0.000277984,8.90854e-05,0.000252,0.000258,0.000263,0.000273,0.000973,exponential
34000001,0.000247109,6.25562e-05,0.000229,0.00023475,0.0002375,0.000241,0.000735,exponential
35000001,0.000268141,0.000139212,0.00024,0.000246,0.000248,0.000253,0.001362,exponential
36000001,0.000276141,0.00012151,0.000244,0.00024975,0.00026,0.000271,0.001228,exponential
37000001,0.000273922,0.000128102,0.000242,0.000248,0.000253,0.00026925,0.001278,exponential
38000001,0.000285359,0.000111084,0.000251,0.00025675,0.0002745,0.000284,0.001153,exponential
39000001,0.000280859,6.52939e-05,0.000251,0.00025875,0.000275,0.000284,0.000784,exponential
40000001,0.000279203,0.000110007,0.000252,0.000256,0.00026,0.00027525,0.00114,exponential
41000001,0.000275187,7.92346e-05,0.000251,0.000257,0.00026,0.000275,0.000892,exponential
42000001,0.000283641,0.000119561,0.000259,0.000262,0.000264,0.00027225,0.001221,exponential
43000001,0.000284828,8.03282e-05,0.000258,0.000262,0.000272,0.000286,0.000907,exponential
44000001,0.000301,0.000225357,0.000257,0.00026275,0.000266,0.00028325,0.002072,exponential
45000001,0.000290734,0.000166989,0.000255,0.00026,0.000265,0.00028125,0.001602,exponential
46000001,0.00029175,0.000150549,0.000256,0.000261,0.0002715,0.000283,0.001474,exponential
47000001,0.000280641,0.000111261,0.000254,0.00026175,0.000264,0.00026875,0.001154,exponential
48000001,0.000282109,0.000121883,0.000255,0.00025975,0.0002625,0.00027125,0.001238,exponential
49000001,0.000303125,0.000257324,0.000257,0.00026,0.0002645,0.000283,0.002327,exponential
50000001,0.00028775,0.00013773,0.000254,0.000262,0.000266,0.00028025,0.001368,exponential
51000001,0.000301656,0.000177791,0.000262,0.000268,0.0002765,0.00029025,0.001698,exponential
52000001,0.000282859,6.93262e-05,0.000261,0.000266,0.00027,0.00028,0.00082,exponential
53000001,0.000291578,7.25538e-05,0.000264,0.000268,0.0002845,0.00029325,0.000854,exponential
54000001,0.000300313,0.000170505,0.00026,0.00026775,0.000276,0.00028825,0.001639,exponential
55000001,0.000288141,0.000100072,0.000262,0.00026775,0.00027,0.00028425,0.001071,exponential
56000001,0.000281719,6.90384e-05,0.000261,0.00026475,0.0002685,0.00028325,0.000817,exponential
57000001,0.000306516,0.000193028,0.000261,0.00026975,0.000284,0.000293,0.001823,exponential
58000001,0.000296359,0.000184763,0.000263,0.000267,0.000269,0.0002765,0.001749,exponential
59000001,0.000287422,6.95833e-05,0.000261,0.000268,0.0002725,0.0002885,0.000824,exponential
60000001,0.000287781,8.774e-05,0.000261,0.00026775,0.000271,0.00028775,0.000972,exponential
61000001,0.000287047,6.24547e-05,0.000259,0.000268,0.0002755,0.00028925,0.000767,exponential
62000001,0.000296266,0.000122448,0.000262,0.000268,0.000278,0.00029125,0.001252,exponential
63000001,0.000283953,0.000106343,0.000259,0.000266,0.000269,0.000273,0.001119,exponential
64000001,0.000284328,7.76559e-05,0.000265,0.000269,0.000271,0.00027425,0.000891,exponential
65000001,0.000300875,0.000103923,0.000267,0.000279,0.0002885,0.000298,0.001114,exponential
66000001,0.000293328,8.41703e-05,0.000262,0.000271,0.000283,0.00029325,0.000947,exponential
67000001,0.000298641,0.000154342,0.000259,0.00026775,0.000279,0.000291,0.001509,exponential
68000001,0.000255406,5.5333e-05,0.000238,0.00024175,0.000244,0.000249,0.00068,exponential
69000001,0.000269688,0.000110414,0.000231,0.000248,0.000251,0.00026375,0.001134,exponential
70000001,0.000290437,0.000158957,0.000252,0.000257,0.0002715,0.000282,0.001537,exponential
71000001,0.000288906,0.000183412,0.00025,0.000257,0.00026,0.000278,0.00173,exponential
72000001,0.00028125,6.79923e-05,0.000256,0.00026275,0.0002705,0.0002825,0.000807,exponential
73000001,0.000287016,8.96794e-05,0.000257,0.00026375,0.000273,0.00028725,0.000983,exponential
74000001,0.000275156,6.99256e-05,0.000256,0.000259,0.000262,0.000273,0.000819,exponential
75000001,0.000283391,0.000119225,0.000256,0.000261,0.000264,0.0002745,0.001218,exponential
76000001,0.000291812,0.000127697,0.000259,0.00026575,0.0002705,0.0002865,0.001292,exponential
77000001,0.000285266,8.38841e-05,0.000258,0.000266,0.00027,0.000283,0.000936,exponential
78000001,0.000291953,0.000166449,0.000258,0.000265,0.000267,0.00027225,0.0016,exponential
79000001,0.000290406,0.000121525,0.000261,0.000266,0.00027,0.0002845,0.001242,exponential
80000001,0.000291719,0.00010794,0.00026,0.000269,0.0002735,0.000288,0.001136,exponential
81000001,0.000292547,0.00013492,0.000264,0.00026775,0.0002705,0.00028,0.001351,exponential
82000001,0.000292594,0.000114914,0.000262,0.00026775,0.000275,0.00028825,0.001193,exponential
83000001,0.000291672,0.000100231,0.000256,0.000268,0.0002795,0.000292,0.001074,exponential
84000001,0.000308359,0.000198319,0.000267,0.00027275,0.000277,0.000296,0.001866,exponential
85000001,0.000361187,0.000564945,0.000267,0.00027,0.000274,0.00027825,0.004734,exponential
86000001,0.000293781,9.79223e-05,0.000265,0.000272,0.000274,0.000292,0.001056,exponential
87000001,0.000290141,8.94173e-05,0.000266,0.00027075,0.000273,0.00029,0.000988,exponential
88000001,0.000299047,0.000117492,0.000256,0.000272,0.00028,0.000295,0.001217,exponential
89000001,0.000302703,0.000116668,0.000265,0.00027375,0.000289,0.0003,0.001214,exponential
90000001,0.000317516,0.000258459,0.000267,0.000273,0.0002825,0.0003,0.00235,exponential
91000001,0.000302844,9.84814e-05,0.000267,0.000283,0.000291,0.000301,0.001072,exponential
92000001,0.00031775,0.000261193,0.000269,0.000273,0.0002835,0.00029425,0.002372,exponential
93000001,0.000289672,9.76047e-05,0.000262,0.000272,0.000275,0.00027825,0.001054,exponential
94000001,0.000314125,0.000210752,0.000267,0.00027275,0.000286,0.00030125,0.001969,exponential
95000001,0.000297594,0.000103634,0.000266,0.000271,0.0002815,0.000297,0.001105,exponential
96000001,0.000301031,0.00014677,0.000267,0.000273,0.000275,0.00029625,0.001452,exponential
97000001,0.000297219,0.000121938,0.00027,0.000275,0.000278,0.00028625,0.001254,exponential
98000001,0.000291141,0.000106533,0.000267,0.00027275,0.000275,0.000279,0.001127,exponential
99000001,0.000438719,0.00122831,0.000267,0.000274,0.0002795,0.00029725,0.010111,exponential
